card,store,quantity,value
descentelhar,Medieval Cards,39,1.75
descentelhar,Medieval Cards,2,19.90
descentelhar,Miragem Hobby,4,1.85
descentelhar,Power9,8,1.75
time walk,Magic Store Brasil,1,25500.00
descentelhar,Cards Of Paradise,5,24.75
descentelhar,WCG - World Card Games,1,19.90
