card,store,quantity,value
izzet boilerworks,Livraria do Infinito - MagicJebb,2,5.70
izzet boilerworks,Livraria do Infinito - MagicJebb,4,1.43
izzet boilerworks,Livraria do Infinito - MagicJebb,1,1.22
izzet boilerworks,Livraria do Infinito - MagicJebb,1,1.20
izzet boilerworks,Livraria do Infinito - MagicJebb,1,1.14
forgotten cave,VAULT,4,1.25
forgotten cave,VAULT,2,1.00
forgotten cave,VAULT,2,1.00
forgotten cave,VAULT,1,1.75
forgotten cave,VAULT,1,2.00
izzet boilerworks,MoxPlay,1,5.25
izzet boilerworks,Treasure Cards,1,4.68
izzet boilerworks,Treasure Cards,1,5.09
izzet boilerworks,Treasure Cards,1,0.43
forgotten cave,Konklave FunStore,1,2.00
forgotten cave,Konklave FunStore,4,1.00
forgotten cave,Konklave FunStore,8,1.00
forgotten cave,Konklave FunStore,8,1.00
forgotten cave,Konklave FunStore,1,0.99
forgotten cave,Gideon\'s Palace,4,0.70
forgotten cave,Gideon\'s Palace,3,0.50
forgotten cave,Gideon\'s Palace,1,0.70
forgotten cave,Gideon\'s Palace,1,0.45
forgotten cave,Cards Of Paradise,49,2.00
forgotten cave,Cards Of Paradise,21,2.00
izzet boilerworks,Power9,1,5.00
izzet boilerworks,Power9,4,5.00
izzet boilerworks,Power9,8,1.25
izzet boilerworks,Power9,3,1.25
forgotten cave,Cards Outlet,6,1.26
forgotten cave,Cards Outlet,4,1.26
forgotten cave,Cards Outlet,4,1.26
forgotten cave,Cards Outlet,4,1.26
forgotten cave,Cards Outlet,3,2.48
forgotten cave,TCGeeK,14,1.88
forgotten cave,TCGeeK,6,1.88
forgotten cave,TCGeeK,2,0.94
forgotten cave,TCGeeK,1,0.94
forgotten cave,Mulligan Geek Store,15,1.25
forgotten cave,Mulligan Geek Store,12,1.00
forgotten cave,Mulligan Geek Store,4,1.50
forgotten cave,Mulligan Geek Store,4,1.50
forgotten cave,Mulligan Geek Store,4,1.50
forgotten cave,Mulligan Geek Store,3,1.25
forgotten cave,Mulligan Geek Store,1,1.25
forgotten cave,Newstation,1,1.50
forgotten cave,Loja Grimorium,12,0.99
forgotten cave,Loja Grimorium,4,1.50
forgotten cave,Loja Grimorium,1,1.50
forgotten cave,Inside Games,12,1.50
forgotten cave,Skull Games,1,1.99
forgotten cave,Bazar de Bagdá,37,1.49
forgotten cave,Bazar de Bagdá,34,1.49
forgotten cave,Bazar de Bagdá,23,1.49
forgotten cave,Bazar de Bagdá,21,1.49
forgotten cave,Bazar de Bagdá,14,1.49
forgotten cave,Bazar de Bagdá,11,1.49
forgotten cave,Bazar de Bagdá,8,1.49
forgotten cave,Bazar de Bagdá,5,1.25
forgotten cave,Vila Celta Hobby Store,8,1.49
