card,store,quantity,value
path to exile,Cards Store,1,36.90
path to exile,Cards Store,1,40.00
path to exile,Nerdz Cards,22,24.90
path to exile,Nerdz Cards,5,69.90
path to exile,Nerdz Cards,4,49.90
path to exile,Nerdz Cards,1,24.90
path to exile,Neowalkers Geek Store,4,29.98
path to exile,Neowalkers Geek Store,4,70.00
path to exile,Neowalkers Geek Store,1,31.98
path to exile,Neowalkers Geek Store,1,29.98
path to exile,Reino Magic,5,24.00
path to exile,Reino Magic,1,65.00
path to exile,Power9,4,69.99
path to exile,Power9,1,61.99
path to exile,Power9,5,58.99
path to exile,Power9,1,53.99
path to exile,Power9,1,32.00
path to exile,Power9,31,29.99
path to exile,Load or Cast,3,61.80
path to exile,Load or Cast,1,58.65
path to exile,Load or Cast,1,30.50
path to exile,Load or Cast,2,28.75
path to exile,Flow Games,2,62.08
path to exile,Flow Games,24,28.55
path to exile,Toca do Quati,8,36.00
path to exile,Toca do Quati,5,31.00
path to exile,Toca do Quati,2,40.00
path to exile,Toca do Quati,1,60.00
path to exile,Pharaoh\'s Shop,71,23.00
path to exile,Pharaoh\'s Shop,8,59.90
path to exile,Pharaoh\'s Shop,1,52.00
path to exile,Pharaoh\'s Shop,1,49.99
path to exile,Pharaoh\'s Shop,1,60.00
path to exile,Multiverso Cards Comercio de Jogos e Acessorios Lt,4,60.00
path to exile,Multiverso Cards Comercio de Jogos e Acessorios Lt,4,36.00
path to exile,Multiverso Cards Comercio de Jogos e Acessorios Lt,1,26.28
path to exile,Shandalar,2,68.90
path to exile,Shandalar,1,59.10
path to exile,Magicbembarato,4,55.19
path to exile,Magicbembarato,4,49.69
path to exile,Magicbembarato,4,0.00
path to exile,Magicbembarato,4,54.81
path to exile,Magicbembarato,4,53.06
path to exile,Magicbembarato,4,53.78
path to exile,Magicbembarato,4,59.82
path to exile,Magicbembarato,4,38.22
path to exile,Magicbembarato,4,49.68
path to exile,Tutubahia,4,39.75
path to exile,Tutubahia,3,59.75
path to exile,Tutubahia,1,49.75
path to exile,Tutubahia,1,29.75
path to exile,Tutubahia,1,29.75
path to exile,Loja Grimorium,19,24.99
path to exile,Loja Grimorium,3,59.99
path to exile,Card Tutor,5,34.95
path to exile,Card Tutor,2,29.95
path to exile,Card Tutor,1,59.95
path to exile,Card Tutor,1,24.95
path to exile,Ilusões Industriais,1,59.90
path to exile,Ilusões Industriais,5,23.00
path to exile,Livraria de Alexandria,1,32.00
path to exile,Livraria de Alexandria,1,48.00
path to exile,Livraria de Alexandria,1,25.00
path to exile,Livraria de Alexandria,1,55.00
path to exile,CL TCG,4,23.00
path to exile,CL TCG,2,59.75
path to exile,CL TCG,1,31.75
path to exile,Magic House Games,1,58.00
path to exile,Magic House Games,1,44.99
path to exile,VampireX TCG,13,34.98
path to exile,VampireX TCG,11,30.79
path to exile,VampireX TCG,6,43.11
path to exile,VampireX TCG,4,51.99
path to exile,VampireX TCG,1,57.19
path to exile,Porto Livre Games,1,54.83
path to exile,Goblin Hero Store,2,54.00
path to exile,Goblin Hero Store,1,50.00
path to exile,Goblin Hero Store,1,24.50
path to exile,Legends Game Store,3,53.99
path to exile,Legends Game Store,1,29.69
path to exile,Legends Game Store,1,29.69
path to exile,Legends Game Store,2,29.48
path to exile,Legends Game Store,9,26.99
path to exile,O Grimório,1,44.99
path to exile,O Grimório,1,34.90
path to exile,Legion Board & Card Games,2,20.21
path to exile,Legion Board & Card Games,1,44.96
path to exile,MTG Cards Games,2,44.95
path to exile,Miragem Hobby,5,49.75
path to exile,Cúpula do Trovão,4,22.00
path to exile,Cúpula do Trovão,1,44.90
path to exile,Taverneiros,3,40.50
path to exile,Taverneiros,2,19.83
path to exile,Taverneiros,1,40.50
path to exile,Geex Hobby Store,9,19.99
path to exile,Geex Hobby Store,2,25.99
path to exile,Geex Hobby Store,1,44.75
path to exile,Geex Hobby Store,1,24.99
path to exile,Universo Magic,1,40.00
path to exile,Moinho de Vento Geek Store,9,19.82
path to exile,Moinho de Vento Geek Store,1,39.99
path to exile,Skull Games,3,39.90
path to exile,Skull Games,1,30.90
path to exile,Mulligan Geek Store,25,25.50
path to exile,Mulligan Geek Store,5,39.75
path to exile,Mulligan Geek Store,4,24.75
path to exile,Mulligan Geek Store,4,31.75
path to exile,Mulligan Geek Store,2,31.75
path to exile,Card Castle,4,38.99
path to exile,Card Castle,1,34.99
path to exile,Território Card Games,1,35.97
path to exile,Treasure Cards,4,36.00
path to exile,Treasure Cards,3,27.90
path to exile,Treasure Cards,1,27.90
path to exile,Treasure Cards,1,27.45
path to exile,Treasure Cards,1,27.90
path to exile,Overrun Geek Store,1,22.50
path to exile,Overrun Geek Store,1,35.00
path to exile,Overrun Geek Store,1,24.50
path to exile,Loja Blood Moon,3,23.00
path to exile,Loja Blood Moon,1,35.00
path to exile,Livraria do Infinito - MagicJebb,1,34.00
path to exile,Magic Club,4,34.90
path to exile,Cards Hall,3,32.89
path to exile,Konklave FunStore,2,31.99
path to exile,Konklave FunStore,4,31.60
path to exile,Konklave FunStore,4,27.60
path to exile,MTG Caxias Cards,3,31.99
path to exile,CHQ Cards,7,33.00
path to exile,CHQ Cards,1,28.00
path to exile,Prime MTG,1,27.90
path to exile,Medieval Cards,1,28.41
path to exile,Arena Hobby Store,1,28.00
path to exile,Ascensão,2,22.30
path to exile,Ascensão,1,27.18
path to exile,Tolaria,3,23.80
path to exile,Tolaria,1,19.91
path to exile,Tolaria,1,25.19
path to exile,Bahia Store,4,25.00
path to exile,Magic Store Brasil,4,24.00
path to exile,Mineral Games,1,23.90
path to exile,Loja Caverna do Dragão,1,22.50
path to exile,Arsenal Nerd,1,20.81
path to exile,House of Cards - Card Games,1,22.95
path to exile,Tabuleria,1,20.00
path to exile,Tabuleria,1,21.75
"atraxa, praetors' voice",Treasure Cards,1,180.00
"atraxa, praetors' voice",City Class Games,1,175.00
"atraxa, praetors' voice",Inside Games,3,190.00
"atraxa, praetors' voice",Inside Games,2,190.00
"atraxa, praetors' voice",TCGeeK,7,150.00
"atraxa, praetors' voice",TCGeeK,1,162.00
"atraxa, praetors' voice",Loja Grimorium,2,149.99
"atraxa, praetors' voice",Loja Grimorium,1,149.99
"atraxa, praetors' voice",Mulligan Geek Store,5,139.75
"atraxa, praetors' voice",Pi Games,1,139.89
"atraxa, praetors' voice",Porto Livre Games,1,135.58
"atraxa, praetors' voice",Porto Livre Games,2,135.58
"atraxa, praetors' voice",VAULT,6,135.00
"atraxa, praetors' voice",VAULT,2,120.00
"atraxa, praetors' voice",VAULT,1,135.00
"atraxa, praetors' voice",Bazar de Bagdá,11,179.99
"atraxa, praetors' voice",Bazar de Bagdá,7,179.99
"atraxa, praetors' voice",Bazar de Bagdá,2,159.99
"atraxa, praetors' voice",Multiverso Cards Comercio de Jogos e Acessorios Lt,3,121.16
"atraxa, praetors' voice",MTG Cards Games,6,119.95
"atraxa, praetors' voice",MTG Cards Games,4,109.95
"atraxa, praetors' voice",Nerdz Cards,1,119.90
"atraxa, praetors' voice",Ilusões Industriais,1,124.90
"atraxa, praetors' voice",Cards Of Paradise,14,119.80
"atraxa, praetors' voice",Neowalkers Geek Store,1,110.00
"atraxa, praetors' voice",Magicbembarato,6,112.14
"atraxa, praetors' voice",Power9,2,109.99
"atraxa, praetors' voice",Power9,4,109.99
"atraxa, praetors' voice",MTG Caxias Cards,1,109.99
"atraxa, praetors' voice",Arena Hobby Store,2,119.90
"atraxa, praetors' voice",Chuck TCG,1,109.50
"atraxa, praetors' voice",Konklave FunStore,4,107.60
"atraxa, praetors' voice",VampireX TCG,6,105.59
"atraxa, praetors' voice",Flow Games,1,100.28
"atraxa, praetors' voice",Miragem Hobby,7,104.99
"atraxa, praetors' voice",Cards Outlet,4,109.20
"atraxa, praetors' voice",Cards Hall,1,100.00
"atraxa, praetors' voice",Tutubahia,1,89.75
"atraxa, praetors' voice",Tutubahia,1,99.75
"atraxa, praetors' voice",Loja Blood Moon,1,100.00
"atraxa, praetors' voice",Card Tutor,3,99.95
"atraxa, praetors' voice",Taverna Geek,1,100.00
"atraxa, praetors' voice",Cards Store,1,99.90
"atraxa, praetors' voice",Shandalar,2,99.00
"atraxa, praetors' voice",Cabala MtG,1,99.00
"atraxa, praetors' voice",Legion Board & Card Games,1,98.96
"atraxa, praetors' voice",Legends Game Store,1,98.78
"atraxa, praetors' voice",Legends Game Store,2,98.78
"atraxa, praetors' voice",Tabuleria,1,95.00
"atraxa, praetors' voice",House of Cards - Card Games,2,89.95
swords to plowshares,Bazar de Bagdá,42,7.49
swords to plowshares,Bazar de Bagdá,21,7.49
swords to plowshares,Bazar de Bagdá,15,7.49
swords to plowshares,Bazar de Bagdá,15,7.49
swords to plowshares,Bazar de Bagdá,9,7.49
swords to plowshares,Bazar de Bagdá,7,24.99
swords to plowshares,Bazar de Bagdá,5,7.49
swords to plowshares,Bazar de Bagdá,4,24.99
swords to plowshares,Bazar de Bagdá,3,24.99
swords to plowshares,Bazar de Bagdá,2,7.49
swords to plowshares,Bazar de Bagdá,2,24.99
swords to plowshares,Bazar de Bagdá,1,7.49
swords to plowshares,Bazar de Bagdá,1,19.99
swords to plowshares,Bazar de Bagdá,1,79.99
swords to plowshares,Bazar de Bagdá,1,7.49
swords to plowshares,Bazar de Bagdá,1,5.99
swords to plowshares,Bazar de Bagdá,1,24.99
swords to plowshares,Livraria do Infinito - MagicJebb,1,46.75
swords to plowshares,Livraria do Infinito - MagicJebb,1,11.90
swords to plowshares,Geex Hobby Store,3,154.99
swords to plowshares,Pharaoh\'s Shop,3,14.00
swords to plowshares,Pharaoh\'s Shop,3,15.00
swords to plowshares,Pharaoh\'s Shop,1,39.00
swords to plowshares,Nerdz Cards,5,39.90
swords to plowshares,Nerdz Cards,2,14.90
swords to plowshares,Nerdz Cards,1,19.90
swords to plowshares,City Class Games,6,5.99
swords to plowshares,Cards Of Paradise,49,7.80
swords to plowshares,City Class Games,5,5.99
swords to plowshares,City Class Games,5,5.99
swords to plowshares,City Class Games,1,11.99
swords to plowshares,City Class Games,1,15.99
swords to plowshares,City Class Games,1,39.99
swords to plowshares,Cards Of Paradise,45,7.80
swords to plowshares,Cards Of Paradise,33,7.80
swords to plowshares,Cards Of Paradise,9,23.80
swords to plowshares,Cards Of Paradise,6,9.40
swords to plowshares,Cards Of Paradise,4,12.00
swords to plowshares,Cards Of Paradise,4,23.80
swords to plowshares,Cards Of Paradise,3,10.20
swords to plowshares,Cards Of Paradise,3,8.60
swords to plowshares,Cards Of Paradise,3,7.80
swords to plowshares,Cards Of Paradise,2,12.40
swords to plowshares,Cards Of Paradise,2,11.80
swords to plowshares,Cards Of Paradise,2,31.80
swords to plowshares,Cards Of Paradise,2,23.80
swords to plowshares,Cards Of Paradise,2,9.40
swords to plowshares,Cards Of Paradise,2,39.80
swords to plowshares,Cards Of Paradise,1,12.00
swords to plowshares,Cards Of Paradise,1,11.20
swords to plowshares,Cards Of Paradise,1,23.80
swords to plowshares,Loja Grimorium,7,9.99
swords to plowshares,Loja Grimorium,5,9.99
swords to plowshares,Loja Grimorium,3,7.50
swords to plowshares,Loja Grimorium,2,9.99
swords to plowshares,Loja Grimorium,2,7.50
swords to plowshares,Loja Grimorium,2,5.99
swords to plowshares,Loja Grimorium,2,5.99
swords to plowshares,Loja Grimorium,2,29.99
swords to plowshares,Card Tutor,3,7.95
swords to plowshares,Card Tutor,3,8.95
swords to plowshares,Card Tutor,2,7.95
swords to plowshares,Card Tutor,2,14.95
swords to plowshares,Card Tutor,2,6.95
swords to plowshares,Card Tutor,2,29.95
swords to plowshares,Card Tutor,2,6.95
swords to plowshares,Card Tutor,1,29.95
swords to plowshares,Card Tutor,1,12.95
swords to plowshares,Magicbembarato,4,9.61
swords to plowshares,Magicbembarato,4,12.15
swords to plowshares,Magicbembarato,4,7.56
swords to plowshares,Magicbembarato,4,8.32
swords to plowshares,Magicbembarato,4,8.05
swords to plowshares,Magicbembarato,4,7.16
swords to plowshares,Magicbembarato,4,13.19
swords to plowshares,Magicbembarato,4,6.27
swords to plowshares,Magicbembarato,4,16.50
swords to plowshares,Magicbembarato,4,6.98
swords to plowshares,Magicbembarato,4,9.34
swords to plowshares,Magicbembarato,3,27.73
swords to plowshares,Magicbembarato,2,6.05
swords to plowshares,Magicbembarato,2,24.93
swords to plowshares,Magicbembarato,2,20.99
swords to plowshares,Overrun Geek Store,2,4.25
swords to plowshares,Overrun Geek Store,1,4.25
swords to plowshares,Overrun Geek Store,1,25.00
swords to plowshares,RED Jogos,4,28.90
swords to plowshares,RED Jogos,1,20.00
swords to plowshares,Medieval Cards,14,4.74
swords to plowshares,Medieval Cards,12,4.75
swords to plowshares,Medieval Cards,2,9.50
swords to plowshares,Medieval Cards,2,23.75
swords to plowshares,Medieval Cards,1,11.40
swords to plowshares,Medieval Cards,1,12.35
swords to plowshares,Medieval Cards,1,8.55
swords to plowshares,Medieval Cards,1,4.75
swords to plowshares,Medieval Cards,1,4.74
swords to plowshares,Medieval Cards,1,10.45
swords to plowshares,Medieval Cards,1,14.25
swords to plowshares,Medieval Cards,1,4.74
swords to plowshares,Medieval Cards,1,7.60
swords to plowshares,Medieval Cards,1,12.35
swords to plowshares,Medieval Cards,1,13.30
swords to plowshares,VampireX TCG,16,6.15
swords to plowshares,VampireX TCG,14,6.15
swords to plowshares,VampireX TCG,14,6.15
swords to plowshares,VampireX TCG,12,7.91
swords to plowshares,VampireX TCG,6,21.99
swords to plowshares,VampireX TCG,3,12.31
swords to plowshares,VampireX TCG,3,11.43
swords to plowshares,VampireX TCG,2,8.79
swords to plowshares,VampireX TCG,2,11.43
swords to plowshares,VampireX TCG,2,6.15
swords to plowshares,VampireX TCG,2,6.15
swords to plowshares,VampireX TCG,1,6.15
swords to plowshares,VampireX TCG,1,10.55
swords to plowshares,VampireX TCG,1,7.91
swords to plowshares,VampireX TCG,1,6.15
swords to plowshares,CL TCG,1,24.90
swords to plowshares,Tutubahia,4,6.25
swords to plowshares,Tutubahia,4,5.00
swords to plowshares,Tutubahia,3,7.50
swords to plowshares,Tutubahia,1,5.00
swords to plowshares,Tutubahia,1,19.75
swords to plowshares,TCGeeK,2,15.00
swords to plowshares,TCGeeK,2,7.00
swords to plowshares,TCGeeK,2,13.50
swords to plowshares,TCGeeK,1,20.00
swords to plowshares,Cards Outlet,3,9.17
swords to plowshares,Cards Outlet,2,6.85
swords to plowshares,Cards Outlet,2,7.74
swords to plowshares,Cards Outlet,2,0.00
swords to plowshares,Cards Outlet,1,8.11
