card,store,quantity,value
mountain,Chuck TCG,1,3.00
mountain,Chuck TCG,3,3.50
mountain,Chuck TCG,8,9.50
mountain,Chuck TCG,18,10.00
mountain,Chuck TCG,45,14.50
mountain,Chuck TCG,6,19.50
mountain,Chuck TCG,2,19.50
mountain,Chuck TCG,3,199.50
mountain,Goblin Hero Store,4,11.00
mountain,Goblin Hero Store,4,140.00
mountain,Goblin Hero Store,3,20.00
mountain,Goblin Hero Store,2,19.99
mountain,Goblin Hero Store,1,8.00
mountain,City Class Games,5,12.65
mountain,City Class Games,2,5.52
mountain,City Class Games,1,3.68
mountain,City Class Games,1,2.76
mountain,City Class Games,1,22.08
mountain,City Class Games,1,193.19
mountain,Inside Games,103,2.00
mountain,Inside Games,24,10.00
mountain,Inside Games,8,17.50
mountain,Inside Games,3,10.00
mountain,Inside Games,2,6.00
mountain,Inside Games,1,45.00
mountain,Inside Games,1,4.00
mountain,Inside Games,1,4.00
mountain,Cards Store,2,13.00
mountain,Cards Store,1,3.00
mountain,Cards Store,1,38.00
mountain,Cards Store,1,3.77
mountain,Cards Store,1,16.00
mountain,Cards Store,1,9.00
mountain,Newstation,13,12.00
mountain,Newstation,7,13.00
mountain,Newstation,3,12.00
mountain,Newstation,2,23.00
mountain,Newstation,1,3.00
mountain,Newstation,1,38.00
mountain,Newstation,1,22.00
mountain,Medieval Cards,9,8.55
mountain,Medieval Cards,7,0.24
mountain,Medieval Cards,1,38.00
mountain,Toca do Quati,9,28.00
mountain,Toca do Quati,3,35.00
mountain,Toca do Quati,2,12.00
mountain,Card Tutor,12,13.95
mountain,Card Tutor,12,2.25
mountain,Card Tutor,8,2.95
mountain,Card Tutor,2,28.95
mountain,Card Tutor,2,8.95
mountain,Card Tutor,2,24.95
mountain,Card Tutor,1,44.95
mountain,Card Tutor,1,30.95
mountain,Meruru,7,14.90
mountain,Meruru,4,1.75
mountain,Meruru,1,34.75
mountain,Meruru,1,13.98
mountain,Magic Leste,2,34.90
mountain,Magic Leste,2,32.90
mountain,Magic Leste,2,19.90
mountain,Magic Leste,2,7.95
mountain,Magic Leste,2,6.99
mountain,Magic Leste,1,2.90
mountain,Magic House Games,17,7.20
mountain,Magic House Games,4,4.00
mountain,Magic House Games,2,4.80
mountain,Magic House Games,2,0.50
mountain,Magic House Games,1,11.00
mountain,Magic House Games,1,25.00
mountain,Magic House Games,1,39.90
mountain,Nerdz Cards,26,34.90
mountain,Nerdz Cards,4,14.90
mountain,Nerdz Cards,1,27.90
mountain,Nerdz Cards,1,24.90
mountain,Porto Livre Games,1,31.88
mountain,Porto Livre Games,3,0.21
mountain,Porto Livre Games,8,0.21
mountain,LIMIAR STORE,1,32.07
mountain,Shandalar,3,7.45
mountain,Shandalar,2,11.90
mountain,Shandalar,1,2.45
mountain,Shandalar,1,32.90
mountain,Shandalar,1,4.25
mountain,Shandalar,1,6.95
mountain,Shandalar,1,11.90
mountain,Load or Cast,1,31.70
mountain,Load or Cast,7,7.90
mountain,Load or Cast,8,7.30
mountain,Load or Cast,1,5.65
mountain,Load or Cast,1,3.30
mountain,Load or Cast,3,0.45
mountain,Load or Cast,2,0.35
mountain,Load or Cast,8,0.30
mountain,Universo Magic,1,30.00
mountain,Loja Blood Moon,4,12.00
mountain,Loja Blood Moon,2,30.00
mountain,Magic Club,2,23.90
mountain,Magic Club,1,10.99
mountain,Magic Club,1,29.75
mountain,Magic Store Brasil,1,27.50
mountain,Magic Store Brasil,3,11.00
mountain,Magic Store Brasil,1,5.00
mountain,Cards e Games,5,24.99
mountain,Cards e Games,1,0.55
mountain,RED Jogos,1,22.50
mountain,RED Jogos,1,18.00
mountain,RED Jogos,8,15.00
mountain,RED Jogos,5,9.60
mountain,RED Jogos,19,9.60
mountain,RED Jogos,3,6.40
mountain,RED Jogos,21,8.00
mountain,RED Jogos,9,7.00
mountain,RED Jogos,1,3.00
mountain,RED Jogos,1,3.00
mountain,RED Jogos,1,2.50
mountain,RED Jogos,3,2.00
mountain,RED Jogos,2,2.50
mountain,RED Jogos,16,0.50
mountain,RED Jogos,6,0.35
mountain,Tokenlandia Cards,5,20.00
mountain,Tokenlandia Cards,2,20.00
mountain,Cabala MtG,2,15.00
mountain,Cabala MtG,1,15.00
mountain,Cabala MtG,1,20.00
mountain,Flow Games,3,21.01
mountain,Loja Grimorium,74,0.49
mountain,Loja Grimorium,34,14.99
mountain,Loja Grimorium,14,0.49
mountain,Loja Grimorium,14,0.49
mountain,Loja Grimorium,9,0.49
mountain,Loja Grimorium,9,6.99
mountain,Loja Grimorium,9,1.99
mountain,Loja Grimorium,9,0.25
mountain,Loja Grimorium,7,0.49
mountain,Loja Grimorium,3,0.25
mountain,Loja Grimorium,3,1.99
mountain,Loja Grimorium,3,19.99
mountain,Loja Grimorium,1,3.50
mountain,VampireX TCG,54,0.43
mountain,VampireX TCG,36,0.87
mountain,VampireX TCG,36,14.95
mountain,VampireX TCG,27,0.87
mountain,VampireX TCG,17,10.55
mountain,VampireX TCG,6,11.43
mountain,VampireX TCG,5,19.35
mountain,VampireX TCG,1,2.63
mountain,VampireX TCG,1,20.67
mountain,VampireX TCG,1,5.27
mountain,Cards Outlet,11,19.95
mountain,A Loja do Pai,1,18.40
mountain,A Loja do Pai,1,10.40
mountain,Jaw Games,84,9.00
mountain,Jaw Games,1,8.00
mountain,Jaw Games,1,15.00
mountain,Konklave FunStore,1,15.99
mountain,Konklave FunStore,1,4.50
mountain,Konklave FunStore,2,3.20
mountain,Konklave FunStore,1,3.20
mountain,Konklave FunStore,18,2.00
mountain,Konklave FunStore,6,0.40
mountain,Miragem Hobby,1,0.30
mountain,Miragem Hobby,1,0.99
mountain,Miragem Hobby,1,3.75
mountain,Miragem Hobby,8,11.95
mountain,Miragem Hobby,48,14.99
mountain,Miragem Hobby,6,16.99
mountain,Cards Hall,5,11.63
mountain,Power Up Games,3,2.00
mountain,Cards Hall,3,15.00
mountain,Power Up Games,4,15.00
mountain,DeckMasterGames,9,13.90
mountain,DeckMasterGames,4,15.20
mountain,Geex Hobby Store,2,14.99
mountain,Geex Hobby Store,1,1.49
mountain,Top Deck RN,2,14.99
mountain,Top Deck RN,2,9.59
mountain,Legion Board & Card Games,27,9.45
mountain,Legion Board & Card Games,19,0.95
mountain,Legion Board & Card Games,6,14.00
mountain,Legion Board & Card Games,2,2.85
mountain,Legends Game Store,1,14.39
mountain,Legends Game Store,11,7.19
mountain,Legends Game Store,13,7.19
mountain,Mulligan Geek Store,43,14.75
mountain,Mulligan Geek Store,34,11.50
mountain,Hobby Center,1,13.50
mountain,Hobby Center,1,10.00
mountain,Hobby Center,1,10.00
mountain,Liga Arena,2,0.29
mountain,Liga Arena,6,0.29
mountain,Liga Arena,8,12.83
mountain,TCGeeK,43,1.00
mountain,TCGeeK,8,6.40
mountain,TCGeeK,5,0.75
mountain,TCGeeK,3,7.20
mountain,TCGeeK,2,10.00
mountain,TCGeeK,2,10.00
mountain,TCGeeK,1,12.00
mountain,TCGeeK,1,1.20
mountain,GeeK Pit,16,12.00
mountain,GeeK Pit,4,5.00
mountain,Cúpula do Trovão,4,3.00
mountain,Cúpula do Trovão,1,11.00
mountain,ProNerd,1,10.94
mountain,ProNerd,1,4.48
mountain,ProNerd,1,4.22
mountain,Pi Games,19,0.66
mountain,Pi Games,12,4.99
mountain,Pi Games,6,10.99
mountain,Pi Games,5,0.99
mountain,Pi Games,2,3.00
mountain,Pi Games,2,3.99
mountain,Pi Games,2,2.00
mountain,Pi Games,1,7.99
mountain,Pi Games,1,0.33
mountain,Pi Games,1,0.49
mountain,Pi Games,1,3.99
mountain,Prime MTG,15,0.22
mountain,Prime MTG,12,0.25
mountain,Prime MTG,8,0.30
mountain,Prime MTG,7,10.32
mountain,Prime MTG,1,4.90
mountain,Treasure Cards,5,9.00
mountain,Treasure Cards,1,9.90
mountain,Monster Games Cards,2,10.00
mountain,Mineral Games,9,8.00
mountain,Mineral Games,11,8.00
mountain,Moinho de Vento Geek Store,1,7.99
mountain,Armada Nerd Hobby Store,5,9.00
mountain,Armada Nerd Hobby Store,4,2.50
mountain,House of Cards - Card Games,9,5.95
mountain,House of Cards - Card Games,3,0.25
mountain,House of Cards - Card Games,3,7.95
mountain,Loja Caverna do Dragão,26,0.25
mountain,Loja Caverna do Dragão,9,7.50
mountain,Loja Caverna do Dragão,9,6.25
mountain,Loja Caverna do Dragão,5,3.00
mountain,Loja Caverna do Dragão,2,3.00
mountain,Loja Caverna do Dragão,1,0.25
mountain,Loja Caverna do Dragão,1,0.25
mountain,Tabuleria,27,0.25
mountain,Tabuleria,8,7.00
mountain,Tabuleria,2,7.50
mountain,Tabuleria,1,2.00
mountain,Tabuleria,1,4.00
mountain,Tabuleria,1,3.50
mountain,CL TCG,16,0.25
mountain,CL TCG,8,7.75
mountain,CL TCG,4,0.20
mountain,CL TCG,2,0.20
mountain,Ascensão,9,0.20
mountain,Ascensão,4,1.00
mountain,Ascensão,2,2.24
mountain,Ascensão,1,2.49
mountain,Ascensão,1,2.30
mountain,Ascensão,1,4.00
mountain,Ascensão,5,0.35
mountain,Gideon\'s Palace,1,3.00
mountain,Reino Magic,1,3.00
mountain,Lets Collect,45,0.68
mountain,Lets Collect,21,0.68
mountain,Lets Collect,17,0.45
mountain,Lets Collect,16,0.45
mountain,Lets Collect,14,0.45
mountain,Lets Collect,8,0.45
mountain,Lets Collect,7,0.45
mountain,Lets Collect,4,0.45
mountain,Lets Collect,4,1.76
mountain,Lets Collect,4,0.45
mountain,Lets Collect,4,0.45
mountain,Lets Collect,2,0.68
mountain,Lets Collect,2,0.68
mountain,under3,6,0.18
mountain,under3,3,1.48
mountain,Neowalkers Geek Store,2,1.98
mountain,Overrun Geek Store,1,1.50
mountain,MTG Caxias Cards,7,1.50
mountain,Magicbembarato,6,0.98
mountain,Player`s Stop,16,0.63
mountain,Player`s Stop,8,0.35
mountain,Território Card Games,4,0.50
mountain,WCG - World Card Games,15,0.49
mountain,WCG - World Card Games,17,0.49
mountain,WCG - World Card Games,9,0.49
mountain,New !QUEST STORE,5,0.50
mountain,Taverna Geek,3,0.30
mountain,Taverna Geek,1,0.20
mountain,Padrinho: Card Store,2,0.20
mountain,Padrinho: Card Store,2,0.25
past in flames,Magicbembarato,4,27.23
past in flames,Magicbembarato,4,26.20
past in flames,Magicbembarato,4,25.45
past in flames,Bazar de Bagdá,9,24.99
past in flames,Bazar de Bagdá,4,24.99
past in flames,Bazar de Bagdá,3,24.99
past in flames,Bazar de Bagdá,3,24.99
past in flames,Bazar de Bagdá,1,19.99
past in flames,Inside Games,2,35.00
past in flames,Power9,3,22.00
past in flames,Power9,2,19.50
past in flames,Newstation,1,20.00
past in flames,Cards Outlet,4,24.28
past in flames,Cards Outlet,3,24.99
past in flames,Tutubahia,4,19.75
past in flames,Tutubahia,1,16.25
past in flames,Tutubahia,1,16.25
past in flames,Cards Of Paradise,4,19.80
past in flames,Cards Of Paradise,2,19.80
past in flames,VAULT,4,18.00
past in flames,VAULT,3,19.00
past in flames,VAULT,1,19.00
past in flames,VAULT,1,18.00
past in flames,Magic Club,2,17.50
past in flames,Magic Club,2,16.75
past in flames,Magic Club,1,17.50
past in flames,Magic Club,1,19.75
past in flames,Konklave FunStore,3,19.60
past in flames,Território Card Games,1,19.27
past in flames,Liga Arena,1,18.91
past in flames,Neowalkers Geek Store,2,17.98
past in flames,PRCShop,1,17.50
past in flames,Meruru,1,14.78
past in flames,Meruru,1,17.78
past in flames,VampireX TCG,7,19.14
past in flames,VampireX TCG,5,19.14
empty the warrens,Magic Club,3,0.95
empty the warrens,Magic Club,2,1.25
empty the warrens,Magic Club,1,20.00
past in flames,Bahia Store,3,14.38
past in flames,Bahia Store,1,13.78
past in flames,Loja Blood Moon,1,14.00
past in flames,Overrun Geek Store,1,14.00
past in flames,Power Up Games,1,13.00
past in flames,Treasure Cards,1,13.49
past in flames,Geex Hobby Store,1,10.49
empty the warrens,Load or Cast,1,21.00
empty the warrens,Load or Cast,3,0.60
empty the warrens,Geex Hobby Store,2,0.99
empty the warrens,Geex Hobby Store,1,19.99
empty the warrens,Geex Hobby Store,1,0.75
empty the warrens,Card Tutor,7,1.25
empty the warrens,Card Tutor,1,19.95
empty the warrens,Card Tutor,1,1.25
empty the warrens,ManaFix.net,6,2.95
empty the warrens,ManaFix.net,2,2.45
empty the warrens,Cards Store,3,1.25
empty the warrens,Cards Store,3,19.90
empty the warrens,Cards Store,2,1.49
empty the warrens,Cards Store,1,1.25
empty the warrens,Cards Store,1,2.00
empty the warrens,Cards Store,1,1.49
empty the warrens,City Class Games,3,0.91
empty the warrens,City Class Games,1,18.39
empty the warrens,Tutubahia,4,1.25
empty the warrens,Tutubahia,1,2.50
