card,store,quantity,value
Contraband Kingpin,Top Deck RN,8,0.25
Contraband Kingpin,Ilusões Industriais,2,0.25
Contraband Kingpin,Magic Club,17,0.25
Contraband Kingpin,Arena Hobby Store,29,0.25
Contraband Kingpin,House of Cards - Card Games,4,0.25
Contraband Kingpin,Gideon\'s Palace,2,0.24
Contraband Kingpin,Prime MTG,4,0.24
Contraband Kingpin,Magic House Games,2,0.24
Contraband Kingpin,Treasure Cards,13,0.23
Contraband Kingpin,Treasure Cards,5,0.23
Contraband Kingpin,Treasure Cards,1,0.23
Contraband Kingpin,Legion Board & Card Games,8,0.25
Contraband Kingpin,Pharaoh\'s Shop,19,0.20
Contraband Kingpin,Pharaoh\'s Shop,3,0.15
Contraband Kingpin,Pharaoh\'s Shop,1,0.20
Contraband Kingpin,Pharaoh\'s Shop,1,0.20
Contraband Kingpin,CL TCG,4,0.20
Contraband Kingpin,Millennium Cards & Games,3,0.20
Contraband Kingpin,Livraria do Infinito - MagicJebb,2,0.18
Contraband Kingpin,Neowalkers Geek Store,13,0.15
Contraband Kingpin,Neowalkers Geek Store,1,0.15
Contraband Kingpin,Valhala Store,5,0.25
Contraband Kingpin,Magic Leste,4,0.15
Contraband Kingpin,Taverna Geek,2,0.15
Sentinel Totem,TCGeeK,44,0.95
Sentinel Totem,TCGeeK,4,7.60
Contraband Kingpin,Universo Magic,1,0.15
Sentinel Totem,Cards Of Paradise,46,1.75
Sentinel Totem,Cards Of Paradise,1,6.75
Sentinel Totem,Tutubahia,1,5.00
Sentinel Totem,Newstation,6,5.00
Sentinel Totem,Newstation,2,1.00
Sentinel Totem,DeckMasterGames,9,0.88
Sentinel Totem,DeckMasterGames,1,4.90
Contraband Kingpin,ProNerd,6,0.08
Sentinel Totem,Medieval Cards,2,9.41
Sentinel Totem,Epic Game,28,0.49
Sentinel Totem,Epic Game,1,5.90
Sentinel Totem,Arena Hobby Store,11,0.50
Sentinel Totem,Arena Hobby Store,1,4.00
Sentinel Totem,Toca do Quati,1,4.80
Sentinel Totem,Bazar de Bagdá,23,1.49
Sentinel Totem,Bazar de Bagdá,2,3.99
Sentinel Totem,Tokenlandia Cards,3,1.00
Sentinel Totem,Tokenlandia Cards,1,4.00
Sentinel Totem,Cards e Games,19,0.60
Sentinel Totem,Cards e Games,2,0.60
Sentinel Totem,Cards e Games,2,3.20
Sentinel Totem,Neowalkers Geek Store,6,0.98
Sentinel Totem,Neowalkers Geek Store,2,2.98
Sentinel Totem,Neowalkers Geek Store,1,2.98
Sentinel Totem,CL TCG,2,2.75
Sentinel Totem,City Class Games,3,0.99
Sentinel Totem,City Class Games,1,3.99
Sentinel Totem,Magic Leste,2,2.40
Sentinel Totem,Magic Leste,6,0.24
Sentinel Totem,Prime MTG,6,0.51
Sentinel Totem,Prime MTG,3,2.43
Sentinel Totem,Tabuleria,11,0.50
Sentinel Totem,Tabuleria,1,2.00
Sentinel Totem,Magic Club,15,0.75
Sentinel Totem,Magic Club,1,1.95
Sentinel Totem,Portal,5,2.25
Sentinel Totem,Skull Games,3,1.99
Sentinel Totem,Top Deck RN,7,1.25
Sentinel Totem,Nerdz Cards,7,1.00
Sentinel Totem,Nerdz Cards,3,0.75
Sentinel Totem,MTG Cards Games,22,1.95
Sentinel Totem,Konklave FunStore,4,1.50
Sentinel Totem,Mulligan Geek Store,11,1.25
Sentinel Totem,Magicbembarato,6,1.04
Sentinel Totem,Chuck TCG,4,1.00
Sentinel Totem,Chuck TCG,1,1.00
Sentinel Totem,Magic Store Brasil,9,1.00
Sentinel Totem,Inside Games,34,1.50
Sentinel Totem,Vila Celta Hobby Store,4,0.99
Sentinel Totem,MTG Caxias Cards,1,0.99
Sentinel Totem,Loja Grimorium,1,0.99
Sentinel Totem,Lets Collect,14,0.86
Sentinel Totem,Porto Livre Games,23,0.81
Sentinel Totem,House of Cards - Card Games,5,0.95
Sentinel Totem,Pi Games,8,0.85
Sentinel Totem,Pi Games,7,0.88
Sentinel Totem,Elder Dragon Brasil,28,0.80
Sentinel Totem,Elder Dragon Brasil,2,0.80
Sentinel Totem,Card Tutor,8,0.75
Sentinel Totem,Reino Magic,26,0.50
Sentinel Totem,Card Castle,8,0.59
Sentinel Totem,Meruru,4,0.75
Sentinel Totem,You Cards,5,0.50
Sentinel Totem,Loja de Cartinhas,1,0.50
Sentinel Totem,Power Up Games,3,0.50
Sentinel Totem,RED Jogos,1,0.50
Sentinel Totem,Load or Cast,1,0.50
Sentinel Totem,Cards Store,3,0.49
Sentinel Totem,Shandalar,4,0.45
Sentinel Totem,Shandalar,4,0.45
Sentinel Totem,Padrinho: Card Store,11,0.49
Sentinel Totem,Treasure Cards,8,0.45
Sentinel Totem,AnimeToys Sorocaba,53,0.45
Sentinel Totem,Liga Arena,1,0.48
Sentinel Totem,Refúgio do Dragão,1,0.40
Sentinel Totem,Ascensão,4,0.45
Sentinel Totem,Hobby Center,7,0.40
Sentinel Totem,Condado Card Games,5,0.43
